City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,pervomayskoye,43.919,46.7102,12.51,93,0,2.61,RU,1697314774
152,sitka,57.0531,-135.33,11.94,82,100,5.66,US,1697314775
153,tabou,4.423,-7.3528,25.48,89,100,2.95,CI,1697314775
154,bandar-e genaveh,29.5791,50.517,30.37,52,0,2.33,IR,1697314775
155,touros,-5.1989,-35.4608,26.36,73,66,8.04,BR,1697314775
156,santa maria,-29.6842,-53.8069,20.6,71,9,4.18,BR,1697314776
157,hermanus,-34.4187,19.2345,16.05,78,93,10.38,ZA,1697314776
158,strezhevoy,60.7333,77.5889,3.31,91,98,3.13,RU,1697314776
159,dampit,-8.2116,112.7493,20.85,85,7,1.35,ID,1697314776
160,ende,-8.8432,121.6623,24.7,81,96,0.64,ID,1697314776
161,geraldton,-28.7667,114.6,24.23,14,22,6.17,AU,1697314777
162,revelstoke,50.9832,-118.2023,9.01,93,100,0.0,CA,1697314777
163,pathein,16.7833,94.7333,24.41,91,23,2.17,MM,1697314777
164,slavyanka,42.8633,131.3847,12.59,63,13,1.63,RU,1697314777
165,ribeira grande,38.5167,-28.7,21.54,83,75,2.24,PT,1697314777
166,tamandare,-8.7597,-35.1047,26.16,71,100,4.12,BR,1697314778
167,akureyri,65.6835,-18.0878,-3.04,80,75,2.06,IS,1697314778
168,alofi,-19.0595,-169.9187,25.94,73,40,5.66,NU,1697314778
169,paoua,7.2427,16.4406,21.91,98,100,4.37,CF,1697314778
170,west wodonga,-36.1257,146.8486,9.3,100,70,0.33,AU,1697314778
171,turpan,42.9333,89.1667,20.32,32,100,2.38,CN,1697314779
172,colonia,50.9333,6.95,10.53,84,20,3.09,DE,1697314779
173,utrik,11.2278,169.8474,27.93,79,98,5.43,MH,1697314779
174,luderitz,-26.6481,15.1594,14.52,86,78,3.99,NA,1697314779
175,beyla,8.6833,-8.6333,21.58,91,25,0.99,GN,1697314780
176,brookings,44.3114,-96.7984,10.19,75,100,5.14,US,1697314530
177,amos,48.5669,-78.1162,7.89,84,100,4.34,CA,1697314504
178,port mathurin,-19.6833,63.4167,22.87,65,0,5.46,MU,1697314780
179,tazacorte,28.629,-17.9293,25.54,73,0,2.57,ES,1697314781
180,dong ha,16.8163,107.1003,22.43,91,100,1.56,VN,1697314781
181,east london,-33.0153,27.9116,16.92,74,93,2.77,ZA,1697314781
182,anna regina,7.2644,-58.5077,29.7,71,48,4.93,GY,1697314781
183,vorkuta,67.5,64.0,-0.79,79,100,4.91,RU,1697314781
184,enriquillo,17.9,-71.2333,31.82,69,99,3.01,DO,1697314782
185,jamestown,42.097,-79.2353,8.77,95,100,5.14,US,1697314652
186,namibe,-15.1961,12.1522,18.13,82,100,3.69,AO,1697314782
187,tiksi,71.6872,128.8694,-10.73,94,100,4.24,RU,1697314782
188,laguna,38.421,-121.4238,27.32,49,0,2.57,US,1697314782
189,gubkinskiy,64.434,76.5026,3.69,95,100,3.64,RU,1697314783
190,fort bragg,35.139,-79.006,19.39,96,100,5.14,US,1697314783
191,steinbach,50.1667,8.5667,12.1,68,0,2.57,DE,1697314783
192,jiagedaqi,50.4167,124.1167,3.33,41,14,7.7,CN,1697314784
193,heber city,40.5069,-111.4132,17.98,39,0,2.06,US,1697314784
194,dunedin,-45.8742,170.5036,9.89,84,93,2.68,NZ,1697314784
195,navashino,55.5292,42.2003,10.36,77,100,6.86,RU,1697314785
196,boa vista,2.8197,-60.6733,35.99,38,20,3.09,BR,1697314785
197,santo domingo zanatepec,16.4831,-94.3475,34.42,58,53,0.64,MX,1697314785
198,kulunda,52.566,78.9385,9.47,47,100,4.73,RU,1697314786
199,cooper's town,26.8667,-77.5167,27.87,85,27,6.82,BS,1697314786
200,khandyga,62.6667,135.6,-11.7,98,100,1.39,RU,1697314787
201,souillac,-20.5167,57.5167,20.21,77,20,2.06,MU,1697314787
202,acapulco de juarez,16.8634,-99.8901,30.9,70,100,4.12,MX,1697314659
203,romorantin-lanthenay,47.4167,1.8333,12.55,87,0,0.0,FR,1697314787
204,tarrafal de sao nicolau,16.5667,-24.3667,27.6,80,100,3.23,CV,1697314788
205,aripuana,-9.1667,-60.6333,35.25,35,100,1.23,BR,1697314788
206,yellowknife,62.456,-114.3525,10.79,78,20,9.26,CA,1697314788
207,rapid valley,44.0625,-103.1463,10.23,56,75,2.68,US,1697314701
208,yanchep,-31.55,115.6833,19.07,59,2,6.55,AU,1697314789
209,portel,-1.9356,-50.8211,36.65,31,65,2.62,BR,1697314789
210,susuman,62.7833,148.1667,-12.79,95,100,0.45,RU,1697314789
211,kashgar,39.4547,75.9797,16.56,12,0,3.0,CN,1697314789
212,rockland,41.1668,-74.0496,10.35,93,100,1.76,US,1697314790
213,lerwick,60.1545,-1.1494,5.0,73,99,13.99,GB,1697314790
214,ruwa,-17.8972,31.2371,22.29,63,80,3.92,ZW,1697314790
215,nemuro,43.3236,145.575,13.91,69,100,1.5,JP,1697314790
216,kailua-kona,19.6406,-155.9956,29.04,73,40,4.63,US,1697314791
217,letlhakane,-21.4167,25.5833,27.19,28,87,6.86,BW,1697314791
218,usinsk,65.9939,57.5281,-1.07,98,98,2.24,RU,1697314791
219,cortina d'ampezzo,46.5384,12.1377,12.76,96,91,0.79,IT,1697314791
220,gebeit,21.0667,36.3167,25.54,35,0,2.04,SD,1697314791
221,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,73,100,6.71,RU,1697314791
222,jinghong,21.991,100.7341,19.24,99,63,0.97,CN,1697314792
223,quelimane,-17.8786,36.8883,26.97,89,0,3.6,MZ,1697314792
224,basco,20.4487,121.9702,27.22,69,88,4.96,PH,1697314792
225,bonthe,7.5264,-12.505,25.29,88,100,1.01,SL,1697314792
226,syktyvkar,61.6764,50.8099,3.08,93,75,1.0,RU,1697314793
227,gaurela,22.75,81.9,20.41,62,0,1.37,IN,1697314793
228,vershino-darasunskiy,52.35,115.5167,-0.88,57,4,1.88,RU,1697314793
229,hithadhoo,-0.6,73.0833,27.32,74,30,3.37,MV,1697314793
230,juneau,58.3019,-134.4197,13.01,90,75,8.75,US,1697314655
231,ylitornio,66.3089,23.6773,2.54,99,100,3.22,FI,1697314793
232,hope,33.6671,-93.5916,19.03,40,0,5.26,US,1697314794
233,zeya,53.75,127.2667,1.38,82,100,6.78,RU,1697314794
234,cascais,38.6979,-9.4215,21.08,83,20,5.36,PT,1697314795
